S/N,Calvert,sd1,Macondo,sd2,Duri,sd3,SanArdo,sd4,Compound,Compound tag,,
1,31.71214959,1.674684295,91.45654969,10.62047392,23.31451702,4.195024769,2.581063062,0.412467586,C10H8,A,,
2,25.57572608,1.083719572,32.40379801,3.881725956,25.91829906,4.6878196,16.25958722,1.524364593,C11H10,B,, 
3,25.6214046,0.954693808,34.85501018,5.515651705,24.74679379,4.601663346,13.04540965,1.143723938,C11H10,B,,
4,10.35666279,6.325325221,25.43326759,6.16293307,9.010727379,1.683137809,7.330544311,0.385836888,C12H8,C,,
5,14.14043676,0.91197932,22.1703673,2.988090015,1.717282083,0.304345205,0,0,C12H10,D,,
6,8.046236369,7.621293141,17.27820927,2.85972208,4.780111036,0.535571477,4.713980765,0.664617726,C12H10,D,,
7,2.606303523,0.131787026,5.846752312,0.557046796,2.166588805,0.354383379,1.201138059,0.077919715,C12H12,E,,
8,49.67112475,2.854698037,54.28035241,8.43265968,38.84992291,6.057335604,37.27275969,3.482159471,C12H12,E,,
9,22.9992313,1.848436074,36.93247695,6.523203203,35.75392203,7.47350298,32.8400006,4.55976933,C12H12,E,,
10,46.11522338,2.978740646,61.56298786,6.431479216,37.23406136,6.629729983,30.93985961,1.850118866,C12H12,E,,
11,38.54930392,2.713240678,41.39312278,5.17526457,34.0954277,6.108871865,34.35905875,4.146735197,C12H12,E,,
12,2.395478761,0.517974275,5.81527305,0.623814046,1.704054302,0.316623163,0.622051111,0.32774534,C12H12,E,,
13,23.63526943,1.151945435,38.7219488,5.391425425,19.94378037,3.32564352,12.02534531,0.443601316,C12H12,E,,
14,17.60791483,1.809049706,32.83094442,3.833899396,11.79119031,2.124199334,9.525075223,0.366017752,C12H12,E,,
15,29.89278559,1.117423235,48.6793075,6.279428547,20.69342625,2.789545518,14.79415439,0.20917753,C12H12,E,,
16,15.79689817,0.884063129,27.06020267,3.430956037,13.73047432,2.836262406,7.763911129,0.450883289,C12H12,E,,
17,33.61210832,3.093345527,35.22112438,4.534363894,27.33438181,5.762863864,8.543845229,0.326019762,C13H10,F,,
18,12.74267552,0.315780558,12.23546655,1.858395441,2.346385809,0.589506273,1.417002669,0.184969878,C13H12,G,,
19,20.4363867,1.934838348,27.95694959,2.592810396,3.164248493,0.660852404,3.094909012,0.206570914,C13H12,G,,
20,3.548905936,0.50346119,8.881750621,1.81572235,1.764123584,0.374932026,1.883820898,0.460157049,C13H14,H,,
21,7.818775816,0.478406801,17.38276732,3.996272273,6.408685247,1.036252669,4.948987452,0.2990692,C13H14,H,,
22,3.859623487,0.26158184,8.879274341,1.255693961,2.365537082,0.367438095,1.756071302,0.107439985,C13H14,H,,
23,9.07746984,1.17317187,19.1130432,2.409491324,6.822615002,1.023193433,4.790390129,0.250501285,C13H14,H,,
24,10.84602788,1.63919214,21.31564949,2.126715227,9.863026376,2.460603997,6.111554388,0.833778569,C13H14,H,,
25,77.549976,3.311296379,113.9814477,13.69719713,66.20980474,11.56605651,63.30222735,4.608399176,C13H14,H,,
26,83.48422045,1.998037993,111.5715491,11.56586508,73.14406911,12.80673346,60.31674753,5.527876988,C13H14,H,,
27,48.88089563,3.066133074,80.61090716,6.980861795,42.80372995,5.715893355,39.8055172,2.457016039,C13H14,H,,
28,85.83338156,4.815826949,108.1797428,13.82725251,74.90672025,12.28445988,68.64879019,4.859679558,C13H14,H,,
29,74.27314916,2.433664516,117.96753,12.3236725,78.81131175,14.87195093,50.52767787,4.693484677,C13H14,H,,
30,44.47727073,0.499342686,64.78050018,7.158526315,48.72360974,8.275969594,36.21943406,3.376875579,C13H14,H,,
31,249.1003143,20.82883351,329.2000007,26.48582775,351.7754876,21.49507566,192.2019116,12.80645346,C14H10,I,,
32,36.02864122,0.900104277,53.35718673,7.296850907,25.06105131,4.491068575,14.66699772,1.308391148,C14H12,J,,
33,38.56048432,1.815741673,37.6172289,6.119018169,29.80766112,5.937463008,19.54964983,1.026685913,C14H12,J,,
34,26.62921688,3.07312862,15.67279255,2.965779552,26.85539732,4.963778582,20.76617309,1.896927036,C14H12,J,,
35,22.17010287,0.88072763,36.89777585,5.563328815,13.30829975,2.548995734,8.918480272,1.361040605,C14H12,J,,
36,9.749472905,1.100215539,15.71116937,1.467302624,1.475652562,0.353501005,0.896154528,0.171559673,C14H14,K,,
37,6.613296337,0.883088702,10.6223389,1.298850574,0.779649704,0.200601734,3.15389725,2.063484189,C14H14,K,,
38,1.248657091,0.310813717,2.86444241,0.200174505,0.637854498,0.168593283,1.266348522,0.442150785,C14H14,K,,
39,30.64633964,1.280172663,45.08174976,5.124794865,4.531939967,0.944882904,11.14639904,3.793119753,C14H14,K,,
40,5.436463769,0.963218301,14.16413187,0.556150832,3.216460897,0.499240448,4.116984622,0.803762183,C14H16,L,,
41,14.69863229,1.979139498,32.16795119,1.975629974,9.68143632,1.783529833,9.911192169,1.185929384,C14H16,L,,
42,16.06693047,2.802603526,36.21012634,3.682805469,9.653235482,1.981776515,9.649402928,1.625459986,C14H16,L,,
43,20.85082836,1.628761435,43.31212005,4.660052372,12.50502409,2.454962624,12.68043044,1.98930073,C14H16,L,,
44,16.65239021,2.601830802,42.3640753,2.312326436,11.6689949,1.772275712,14.50716066,1.680046768,C14H16,L,,
45,9.931594616,2.766539965,24.84424585,2.73059274,5.941084131,1.301553329,6.278572014,0.457947189,C14H16,L,,
46,50.72806947,6.253126912,98.67209901,5.52978689,34.03415347,5.921334481,40.42121361,5.961237684,C14H16,L,,
47,92.18538033,7.795496537,159.9561157,10.94574401,64.9230649,10.93934008,59.95374704,6.195255405,C14H16,L,,
48,24.17729865,3.555760733,61.64085101,4.944969092,21.96498745,4.205197856,18.18353853,1.692969515,C14H16,L,,
49,50.24185005,5.057883757,99.86154315,5.01540928,64.01170325,10.40559791,49.43591592,6.436762302,C14H16,L,,
50,7.815374774,1.17291702,22.58208649,1.306338805,9.149097902,1.514651995,10.53253284,1.508063555,C14H16,L,,
51,16.57509197,1.561482917,37.20751592,1.376640506,21.51709307,3.012579326,42.63733331,6.967332588,C14H16,L,,
52,40.45437546,3.035194998,59.31979636,3.834085313,70.1607484,12.42373691,39.99448038,4.996938508,C14H16,L,,
53,4.216802838,0.524301576,9.864811268,1.294595552,2.66237858,0.335598737,2.844372112,0.155145821,C12H12N2,M,,
54,21.73856912,3.451984352,44.72572016,3.498015608,22.49136809,3.661647091,17.68086098,2.290068167,C12H12N2,M,,
55,38.78753642,2.483130496,88.62499061,4.682193075,45.08135632,9.596024717,55.62519532,7.230333208,C12H12N2,M,,
56,24.27138947,2.160170306,50.29589402,3.287792845,29.84148422,5.712264484,21.66198185,3.103987307,C12H12N2,M,,
57,7.315180968,0.376742189,18.03965897,1.11151368,5.813275922,0.687457664,6.605945925,0.272367703,C13H12O,N,,
58,53.84416134,6.720752748,72.43525836,4.046866241,60.1331636,4.494528692,59.35650497,10.21381146,C15H12,O,,
59,50.63599359,6.743846216,66.92099315,3.918198585,57.41188556,5.597573941,60.00709554,11.12020061,C15H12,O,,
60,59.9765975,8.516510415,76.05826251,3.020650295,64.14195196,6.564576071,62.36074651,10.86870902,C15H12,O,,
61,47.08037289,5.691351221,60.71497973,4.800197793,54.01124551,4.29608064,46.62931578,8.78915676,C15H12,O,,
62,42.70516422,1.665897168,70.60116128,8.789680943,26.27344168,5.891606577,27.62121248,3.095194895,C15H14,P,,
63,39.30944281,1.723675191,21.74600049,7.650070203,24.1026014,4.607478297,24.35116186,1.698360795,C15H14,P,,
64,30.73789598,3.334698807,85.02309217,12.58279297,14.4844443,2.198983765,20.43780794,2.141032367,C15H14,P,,
65,61.46185212,1.95515933,43.12865915,11.94380531,45.65690952,10.41049996,40.21708648,6.475748827,C15H14,P,,
66,65.22111882,4.101516715,66.05585634,12.97143244,41.80639096,8.679985517,46.74303871,2.990988516,C15H14,P,,
67,46.4871851,4.199101104,36.65235732,7.52133114,33.94861635,6.215921902,30.20560807,5.277570204,C15H14,P,,
68,25.52336087,1.400994328,38.73030205,5.805778124,14.389547,2.717019803,17.78772633,1.567391923,C15H14,P,,
69,23.09526425,0.969749986,44.0345432,5.882963581,13.08717914,2.319867723,16.85472874,1.7609919,C15H14,P,,
70,44.45760266,4.24801866,32.42346446,6.366980082,8.834995572,1.816069613,5.740954112,2.554760359,C15H16,Q,,
71,14.61073998,2.483251397,13.38875626,1.36072163,1.746300964,0.548887779,2.661452727,1.078117419,C15H16,Q,,
72,53.32039262,1.652628831,2.484153473,0.703417893,76.69631175,14.21435902,1.874344073,0.840893095,C15H16,Q,,
73,40.32933099,5.0096116,53.03829531,32.41019455,20.80379441,4.488765552,30.31484262,4.860497102,C15H16,Q,,
74,40.43508998,3.081775432,29.47048954,20.01981538,9.661444713,2.415473757,21.47794764,3.11099248,C15H16,Q,,
75,47.689057,4.354578606,38.15571122,20.86351183,57.95730038,10.89269942,19.61602472,2.196901316,C15H16,Q,,
76,49.86969091,8.108971165,23.32436713,7.099963673,57.08460589,5.403853927,13.46558562,1.144545454,C15H16,Q,,
77,56.9690626,8.328402735,50.41388451,14.63747209,51.84014371,9.389712359,28.09888358,2.220471817,C15H16,Q,,
78,22.55306054,2.553446865,19.28549207,8.620589078,17.72570129,2.722083252,17.09159394,4.892567352,C15H16,Q,,
79,32.24944596,3.927092624,32.00836801,9.790134258,37.91280588,7.194011769,22.0650901,3.677062508,C15H16,Q,,
80,11.02112798,1.47201745,16.11076585,5.389942092,14.14041107,1.717351667,13.89823359,5.875951304,C15H16,Q,,
81,41.97407673,2.338439723,122.6222233,14.35777144,33.8377082,6.622233984,23.74077432,1.863919742,C13H10S,R,,
82,1.335500911,0.126287171,3.196632716,0.435852461,4.591502861,1.196384098,4.799515838,0.137040272,C13H10S,R,,
83,9.268414969,0.975521303,37.23866243,2.922481964,10.26976895,1.63840165,8.460211243,0.744448107,C13H10S,R,,
84,16.63732911,0.474663016,55.22164624,5.757517255,13.80770383,2.563897406,12.85322112,0.613531396,C13H10S,R,,
85,16.25824672,0.289196296,67.66054874,8.533769339,35.18298804,2.376219754,20.5970743,3.654048933,C16H10,S,,
86,8.15405956,0.604346233,27.50698155,1.798927423,5.920929274,0.104310371,1.679794007,0.21731574,C16H12,T,,
87,9.715309963,0.682501995,18.03363845,1.222094276,12.04026535,0.728763536,8.705354125,1.532364405,C16H14,U,,
88,40.0757025,2.013149217,99.54922809,4.83688654,35.77035746,1.106282201,40.52769202,5.769432681,C16H14,U,,
89,8.520144677,0.370743329,13.46907877,2.004267236,12.55496033,1.306866663,9.188237728,1.77043736,C16H14,U,,
90,40.8048253,2.54857442,116.4078659,14.57559928,60.54974403,4.365044371,63.16710823,9.156899669,C16H14,U,,
91,26.4585567,4.58735304,18.37388036,0.833166392,5.913247187,0.70340742,5.932647529,0.950846993,C16H14,U,,
92,47.16309459,2.80998314,89.89127513,0.898738048,47.85281639,3.2876154,52.69680476,8.768456709,C16H14,U,,
93,164.3458463,16.47586137,220.1075245,42.5466551,175.9403575,13.37235393,196.8385497,22.89070175,C16H14,U,,
94,113.802082,11.79465456,180.0373005,4.329347139,110.4132849,7.657815573,121.4080209,19.24858406,C16H14,U,,
95,80.21857942,9.207983835,108.697276,0.888231934,92.62577284,8.397810052,102.6447019,14.23899214,C16H14,U,,
96,59.67091932,4.693212033,100.7880879,1.185352569,49.41062124,3.117861618,51.35564139,7.527611375,C16H14,U,,
97,29.49140039,2.773813872,48.23391774,1.611858506,30.05210101,1.459903953,22.28992542,4.459215388,C16H14,U,,
98,8.080520106,0.526643098,22.72634123,1.069932864,3.807477566,0.255428045,4.936686092,0.430343156,C17H14,V,,
99,6.779150379,0.349828086,15.40333038,0.714768974,2.442265434,0.032983321,3.831434681,0.445120327,C17H14,V,,
100,6.708959951,0.248795016,20.92222709,1.981067574,2.184256665,0.120023903,3.630329898,0.370810283,C17H14,V,,
101,4.980545293,0.356913568,14.03611247,1.458508865,1.633484482,0.099833151,2.990191154,0.495668156,C17H14,V,,
102,2.066618495,0.104139903,4.065227955,0.213373526,0.695112544,0.035560693,1.044998784,0.122739887,C17H14,V,,
103,7.58576106,0.03900815,41.87441222,2.02553655,21.85221886,1.627482098,14.23214717,0.426242765,C18H12,W,,
104,7.070904723,0.146106885,21.03890374,2.87857075,11.14081924,0.828662254,4.264359068,0.387154811,C18H12,W,,
105,7.518671656,0.337139418,26.84790298,2.427337416,15.37971917,0.826659249,7.548662502,0.403291136,C18H12,W,,
106,10.36048008,2.040650036,14.76508525,1.157812768,10.5880179,0.189867266,11.95696097,2.559243016,C18H18,X,,
107,8.592267377,0.532733905,13.45273236,1.141601416,7.689361658,0.356223988,7.65349274,0.778892551,C18H18,X,,
108,16.41411353,1.931026758,21.61275733,4.75400819,11.7932571,0.914817412,20.83775437,2.444000664,C18H18,X,,
109,21.10377988,0.976369747,32.98098738,3.50744786,17.46622764,1.248792994,23.96666563,2.934342662,C18H18,X,,
110,23.95409494,2.063726757,37.55517521,3.647136036,16.68523016,0.677930598,26.56549868,5.359458221,C18H18,X,,
111,11.30067291,2.409235575,14.37976081,1.931548565,4.097473144,0.608811465,6.901750776,1.409063943,C18H18,X,,
112,4.906534476,0.805375298,8.836807883,1.409830258,2.774990221,0.457033422,4.293339598,1.202693082,C18H18,X,,
113,25.25075593,0.586070673,40.43246221,1.529104518,11.68764574,1.069983875,24.46314319,1.993846391,C18H18,X,,
114,34.45635854,1.424449438,52.58717773,3.430812472,15.07435019,1.157072643,26.99066083,2.034300895,C18H18,X,,
115,25.88352113,3.065701314,36.03348477,2.118372947,15.28605156,0.947873339,29.05837916,2.872163642,C18H18,X,,
116,46.68447477,1.74808076,63.86148702,4.4790561,34.96202374,2.139994055,82.22516252,4.435534261,C18H18,X,,
117,16.89910674,0.54774786,23.32645393,1.940345727,7.699770798,0.507110907,14.82825675,2.97880422,C18H18,X,,
118,25.79993148,0.893752623,47.03554692,2.99067314,15.6951505,0.880334053,26.30055059,2.680977745,C18H18,X,,
119,14.57232132,2.1019818,25.19339905,2.200760469,11.4180974,1.751842433,16.65716017,3.196417453,C17H14O,Y,,
120,24.93144461,0.620113821,33.16469494,3.768727953,12.21911232,0.974789657,21.14491222,1.492603121,C17H14O,Y,,
121,0.514056973,0.052515948,1.402523206,0.085241171,0.325199218,0.028199113,0.205123281,0.160833552,C20H12,Z,,
122,0.304778815,0.026676688,0.270072429,0.046935531,1.220385191,0.099214868,0.231812488,0.039137838,C20H12,Z,,
123,5.199727145,0.053022405,14.60743841,0.162439421,10.97807646,0.739075888,2.74369363,0.143922848,C20H12,Z,,
124,4.157799351,0.116516836,7.615949542,0.325015978,5.480405947,0.540161972,2.62409541,0.311354307,C20H12,Z,,
125,1.017748055,0.119884354,0.916576342,0.063879628,0.349125656,0.051654441,27.17255937,3.862904383,C20H12,Z,,
126,0.18779445,0.017479529,0.149225606,0.008312214,0,0,0.059409314,0.036228767,C22H12,AB,,
127,2.92849243,0.091006813,4.457162372,0.137781842,2.228188098,0.122154023,2.252857316,0.308418986,C22H12,AB,,
128,0.520656008,0.135358318,1.99847432,0.242829007,2.645871595,0.315794242,1.492205945,0.147348445,C22H14,BC,,
